,PC1,PC2
a,-0.34206335661436205,-0.257969052039504
b,-0.31043510363945226,0.4031655633290551
c,0.3764910903731453,-0.028567820671125677
car_mode,0.21922059993650228,0.09458298307153909
transit_mode,-0.2581504222469995,0.46762473044046415
bicycle_mode,-0.2032894506008755,-0.3938837972546894
walked_mode,-0.3023431338010611,-0.17355964384464256
car_share,0.3764910903731454,-0.02856782067112587
transit_share,-0.31043510363945226,0.40316556332905484
bicycle_share,-0.23139723352267874,-0.4028083844206855
walked_share,-0.32523792483456737,-0.17774691290734823
